6;35;41;0;0;0;0;0;0
7;35;59;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
7;35;60;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
8;35;60;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
7;35;60;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
6;35;42;0;0;0;0;0;0
6;36;40;0;0;0;0;0;0
8;35;60;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
7;35;59;0;0;0;0;0;0
6;36;41;0;0;0;0;0;0
6;35;42;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
8;35;59;0;0;0;0;0;0
6;35;42;0;0;0;0;0;0
6;36;59;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
7;35;59;0;0;0;0;0;0
7;35;60;0;0;0;0;0;0
6;35;42;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
6;36;41;0;0;0;0;0;0
6;35;42;0;0;0;0;0;0
6;36;41;0;0;0;0;0;0
5;35;41;0;0;0;0;0;0
7;35;41;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
6;35;40;0;0;0;0;0;0
6;35;40;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
7;35;41;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
7;35;59;0;0;0;0;0;0
6;35;42;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
6;34;40;0;0;0;0;0;0
5;34;41;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
5;35;41;0;0;0;0;0;0
7;35;59;0;0;0;0;0;0
6;34;40;0;0;0;0;0;0
6;35;58;0;0;0;0;0;0
6;35;42;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
7;34;40;0;0;0;0;0;0
6;34;40;0;0;0;0;0;0
7;35;58;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
7;35;41;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
7;35;59;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
5;35;41;0;0;0;0;0;0
6;35;43;0;0;0;0;0;0
8;35;58;0;0;0;0;0;0
6;36;42;0;0;0;0;0;0
7;35;59;0;0;0;0;0;0
5;35;41;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
6;35;41;0;0;0;0;0;0
7;35;58;0;0;0;0;0;0
8;35;58;0;0;0;0;0;0
7;35;58;0;0;0;0;0;0
7;36;59;0;0;0;0;0;0
6;35;43;0;0;0;0;0;0
6;35;59;0;0;0;0;0;0
8;35;59;0;0;0;0;0;0
7;35;59;0;0;0;0;0;0
7;35;58;0;0;0;0;0;0
7;35;58;0;0;0;0;0;0
6;35;42;0;0;0;0;0;0
